target,buying = vhigh,buying = high,buying = med,buying = low,maint = vhigh,maint = high,maint = med,maint = low,doors = 2,doors = 3,doors = 4,doors = 5more,persons = 2,persons = 4,persons = more,lug_boot = big,lug_boot = med,lug_boot = small,safety = high,safety = med,safety = low
0,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
0,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False
0,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
0,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
0,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False
0,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
0,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
0,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False
0,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
0,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
0,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False
0,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
0,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
0,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False
0,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True
0,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False
0,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False
0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True
0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False
0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True
0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False
